ImoNumber,VesselName,CallSign,VesselClass,NominalTeuCapacity,ReeferPlugCount,FlagCountryCode,FlagCountryName,YearBuilt,DeadweightTonnes,LoaMetres,BeamMetres,MaxDraughtMetres,ServiceSpeedKnots,FuelType,HasScrubber,EexiRating,IsOwnedTonnage,OperatorCarrierCode,VesselKey
#NA,Unknown,#NA,#NA,0,0,#NA,Unknown,0,0,0.0,0.0,0.0,0.0,#NA,0,#NA,0,#NA,-1
1115151,Amber Odyssey,05DWIL,Feeder,1197,176,MH,Marshall Islands,2025,12259,142.7,24.6,8.39,18.2,VLSFO,0,C,0,HLCU,1
2609642,Morning Horizon,NBG0JX,Feeder,1785,212,CY,Cyprus,2022,21387,139.3,24.9,8.7,16.7,VLSFO,0,C,0,NSBB,2
3453222,Amber Dawn,0FZ9XX,Feeder,1312,166,HK,Hong Kong,2005,16446,153.5,23.4,8.72,17.1,Methanol Dual-Fuel,0,E,0,HWFT,3
1003683,Noble Star,9VLWK6,Feeder,1455,154,SG,Singapore,2023,15760,106.2,23.3,7.89,16.4,LNG Dual-Fuel,0,B,0,NSBB,4
8451695,Pacific Compass,3UQEV2,Feeder,1598,129,HK,Hong Kong,2021,19149,110.8,21.5,7.27,17.2,VLSFO,0,C,1,MGLU,5
3890420,Pacific Discovery,0I0AQ9,Feeder,2377,121,HK,Hong Kong,2002,32034,105.8,23.3,8.16,17.5,VLSFO,1,C,0,VJBD,6
9633252,Evening Star,WYXC7D,Feeder,2499,133,MH,Marshall Islands,2012,31317,106.7,22.8,7.63,16.2,LNG Dual-Fuel,0,B,0,HWFT,7
8042925,Royal Voyager,85WWFQ,Feeder,1459,88,BS,Bahamas,2020,18103,155.2,23.6,8.82,16.2,VLSFO,0,C,0,AAUW,8
5355644,Bold Bridge,PUJO9D,Feeder,2031,265,MH,Marshall Islands,2021,26216,151.2,22.8,7.52,17.4,VLSFO,0,A,0,HDMU,9
7679111,Atlantic Compass,89TGQ0,Feeder,2551,241,MH,Marshall Islands,2025,27102,122.8,21.0,7.92,18.8,VLSFO,0,C,0,RDXA,10
2404274,Amber Current,2Y6JVE,Feeder,2072,160,HK,Hong Kong,2019,27461,107.7,20.9,8.9,16.6,VLSFO,0,A,0,NNJE,11
5479828,Emerald Star,2C91WF,Feeder,1833,205,BS,Bahamas,2007,22621,129.4,21.5,7.4,16.6,VLSFO,0,C,0,AAUW,12
9918781,Majestic Dawn,W6FAWH,Feeder,1140,80,LR,Liberia,2011,14494,122.3,24.7,8.79,16.5,MGO,0,C,0,EGLV,13
3541859,Emerald Bridge,5OLGDQ,Feeder,2194,144,PA,Panama,2009,23882,118.2,24.6,8.17,18.7,VLSFO,1,D,0,KYLU,14
7910151,Silver Discovery,L3DCU5,Feeder,2589,367,PA,Panama,2007,31347,118.6,24.7,8.4,17.3,VLSFO,0,D,0,RADR,15
9683128,Evening Summit,CYXP1X,Feeder,1783,110,MH,Marshall Islands,1999,24328,144.8,20.4,7.83,18.8,VLSFO,0,C,1,MGLU,16
9818228,Bold Voyager,LG8FK4,Feeder,2018,135,LR,Liberia,2011,22357,107.3,22.4,7.55,16.1,VLSFO,0,C,0,MGLU,17
1517567,Crystal Pioneer,LBJ0FN,Feeder,2889,358,MH,Marshall Islands,2017,35116,111.5,23.9,7.84,16.9,VLSFO,0,B,0,NSBB,18
4761925,Endless Star,HP5AY0,Feeder,1765,151,CY,Cyprus,2017,20279,124.5,23.6,8.78,17.7,VLSFO,1,B,0,BVUE,19
6435879,Amber Zenith,XFNDB5,Feeder,1908,129,CY,Cyprus,1998,24391,134.7,20.1,8.97,16.6,VLSFO,1,C,0,XWYU,20
6301195,Majestic Spirit,YTMHT1,Feeder,1889,109,SG,Singapore,2007,22921,150.6,23.5,7.64,17.5,MGO,0,D,1,MGLU,21
1966536,Steady Dawn,4I0PAC,Feeder,2150,313,LR,Liberia,2021,30020,100.6,23.5,7.19,17.4,VLSFO,0,C,0,RADR,22
1945611,Emerald Compass,HUN2I1,Feeder,1126,83,MT,Malta,2002,12287,122.0,24.2,7.47,18.7,VLSFO,0,D,1,MGLU,23
7247554,Silver Spirit,3Q9CZE,Feeder,1818,219,LR,Liberia,2013,19772,136.8,21.3,7.26,18.0,VLSFO,0,D,0,BVUE,24
1421251,Majestic Odyssey,99H88N,Feeder,2513,196,MH,Marshall Islands,2023,25572,158.7,20.6,7.45,16.2,VLSFO,0,B,0,RADR,25
7685615,Evening Crossing,ZHCBHH,Feeder,2493,173,BS,Bahamas,2010,26725,129.4,22.1,7.87,16.7,VLSFO,0,C,0,YQHP,26
5973288,Eastern Navigator,LS2P3X,Feeder,2424,240,PA,Panama,2012,28326,101.2,20.3,7.27,18.6,VLSFO,0,C,1,MGLU,27
3631666,Royal Trader,97PPEY,Feeder,1184,131,HK,Hong Kong,2022,14602,151.2,21.0,8.97,18.6,LNG Dual-Fuel,0,A,0,TZGS,28
1988390,Royal Current,7L3UK0,Feeder,2498,354,MT,Malta,1998,32513,116.0,23.2,8.91,17.9,LNG Dual-Fuel,0,D,0,RADR,29
1779517,Bright Passage,PKUVGM,Feeder,1951,176,LR,Liberia,2014,23079,150.7,24.7,7.01,18.8,VLSFO,0,C,0,BVUE,30
2340806,Golden Voyager,2W6H05,Feeder,1758,194,HK,Hong Kong,2005,22600,116.7,22.9,8.5,17.4,VLSFO,1,E,0,COSU,31
1751242,Majestic Passage,UFA6FS,Feeder,2426,363,LR,Liberia,2004,26355,104.7,20.9,8.84,17.7,VLSFO,1,C,0,TODF,32
2430572,Steady Frontier,ZQ4BZS,Feeder,2580,183,MT,Malta,2000,31366,141.5,22.8,8.12,17.4,MGO,0,C,0,NRNS,33
2656853,Eastern Explorer,10MET8,Feeder,1856,158,MT,Malta,2005,20715,129.9,24.8,8.9,17.5,MGO,0,D,0,HWFT,34
8278574,Royal Frontier,1HD5BY,Feeder,2087,246,CY,Cyprus,1999,27371,106.6,20.7,8.09,17.0,VLSFO,0,D,0,RDXA,35
1394575,Bright Wave,8LVKM7,Feeder,1179,143,SG,Singapore,2005,12462,132.5,20.6,8.08,17.0,VLSFO,0,E,0,MGLU,36
6511128,Atlantic Star,4K1SCM,Feeder,1259,173,MH,Marshall Islands,2006,13885,136.0,20.2,7.14,18.3,Methanol Dual-Fuel,0,D,0,EWZM,37
4453695,Evening Endeavour,L2I9AG,Feeder,2232,325,HK,Hong Kong,2001,23081,157.0,24.7,8.86,16.2,VLSFO,0,C,0,ZIMU,38
4824650,Crystal Summit,QS28Q5,Feeder,2168,184,BS,Bahamas,2024,25946,105.1,23.5,7.27,18.5,VLSFO,1,A,0,OOLU,39
2576821,Silver Mariner,P1Y3GF,Feeder,2877,382,MT,Malta,2004,30276,154.6,22.6,8.76,18.2,VLSFO,0,E,1,MGLU,40
2327232,Silver Horizon,73313C,Feedermax,3013,381,CY,Cyprus,2018,37210,165.2,28.2,10.81,20.1,VLSFO,0,C,0,MGLU,41
1566269,Emerald Frontier,8XBZ0B,Feedermax,4374,363,MT,Malta,2013,43869,166.3,29.0,10.29,20.3,VLSFO,0,B,1,MGLU,42
2119623,Atlantic Legacy,UTIA4F,Feedermax,4295,613,CY,Cyprus,2015,43477,189.2,28.3,10.11,20.7,VLSFO,0,D,0,RDXA,43
4033768,Northern Horizon,2HC5HT,Feedermax,3836,546,BS,Bahamas,2005,50661,198.2,27.7,10.74,19.3,Methanol Dual-Fuel,0,E,0,EGLV,44
1964734,Steady Legacy,T8PM9E,Feedermax,4236,366,BS,Bahamas,2005,44483,177.6,29.8,10.41,19.4,VLSFO,0,E,0,HLCU,45
1757387,Golden Star,R14M73,Feedermax,3760,471,BS,Bahamas,2003,41957,160.4,28.0,10.86,20.6,Methanol Dual-Fuel,0,D,0,AAUW,46
5101782,Grand Current,6IEYPM,Feedermax,3353,335,HK,Hong Kong,2005,34992,176.3,29.6,10.87,19.1,VLSFO,1,D,0,DEFB,47
9663128,Steady Horizon,NL2PAI,Feedermax,4142,215,SG,Singapore,2001,51537,204.1,27.4,10.21,20.2,VLSFO,0,D,1,MGLU,48
1090923,Radiant Trader,N3SXP6,Feedermax,3465,359,LR,Liberia,2023,36910,207.7,28.0,10.22,20.1,LNG Dual-Fuel,0,A,0,NRNS,49
