HsCode6,HsCode4,HsCode2,HsChapterName,HsHeadingName,CommodityName,CommodityGroup,IsDangerousGoods,ImdgClass,UnNumber,IsTemperatureControlled,RequiredTempC,IsHighValue,AvgDensityKgPerCbm,TypicalStuffFactorTeu,CommodityKey
#NA,#NA,#NA,Unknown,Unknown,Unknown,#NA,0,#NA,#NA,0,,0,0.0,0.0,-1
020201,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Grade A,Perishable,0,#NA,#NA,1,-18.0,0,262.0,30.0,1
020202,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Grade B,Perishable,0,#NA,#NA,1,-18.0,0,269.8,30.0,2
020203,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Bulk,Perishable,0,#NA,#NA,1,-18.0,0,296.0,30.0,3
020204,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Retail Pack,Perishable,0,#NA,#NA,1,-18.0,0,278.3,30.0,4
020205,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Industrial Grade,Perishable,0,#NA,#NA,1,-18.0,0,339.3,30.0,5
020206,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Premium,Perishable,0,#NA,#NA,1,-18.0,0,284.3,30.0,6
020207,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Standard,Perishable,0,#NA,#NA,1,-18.0,0,266.0,30.0,7
020208,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Economy,Perishable,0,#NA,#NA,1,-18.0,0,346.0,30.0,8
020209,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Type I,Perishable,0,#NA,#NA,1,-18.0,0,284.9,30.0,9
020210,0202,02,Meat and Edible Meat Offal,Frozen Bovine Meat,Frozen Bovine Meat - Type II,Perishable,0,#NA,#NA,1,-18.0,0,300.7,30.0,10
