IsoSizeTypeCode,EquipmentTypeCode,EquipmentTypeName,LengthFt,HeightFt,TeuFactor,FfeFactor,MaxPayloadKg,TareWeightKg,InternalCbm,IsReefer,IsTank,IsOpenTop,IsFlatRack,IsSpecialEquipment,OwnershipType,FreeDaysDemurrage,FreeDaysDetention,DailyDemurrageTier1Usd,DailyDemurrageTier2Usd,DailyDemurrageTier3Usd,DailyDetentionTier1Usd,DailyDetentionTier2Usd,DailyDetentionTier3Usd,EquipmentKey
#NA,#NA,Unknown,0,#NA,0.0,0.0,0,0,0.0,0,0,0,0,0,#NA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
22G1,20DV,20ft Dry Van,20,"8'6""",1.0,0.5,22085,2264,33.7,0,0,0,0,0,Owned,5,5,75.0,150.0,300.0,60.0,120.0,240.0,1
22G1,20DV,20ft Dry Van,20,"8'6""",1.0,0.5,21363,2190,32.6,0,0,0,0,0,Owned,5,5,75.0,150.0,300.0,60.0,120.0,240.0,2
22G1,20DV,20ft Dry Van,20,"8'6""",1.0,0.5,21792,2234,33.3,0,0,0,0,0,Leased Long-Term,5,5,75.0,150.0,300.0,60.0,120.0,240.0,3
22G1,20DV,20ft Dry Van,20,"8'6""",1.0,0.5,22046,2260,33.7,0,0,0,0,0,Leased Long-Term,5,5,75.0,150.0,300.0,60.0,120.0,240.0,4
22G1,20DV,20ft Dry Van,20,"8'6""",1.0,0.5,21925,2248,33.5,0,0,0,0,0,Leased Short-Term,5,5,75.0,150.0,300.0,60.0,120.0,240.0,5
22G1,20DV,20ft Dry Van,20,"8'6""",1.0,0.5,21612,2216,33.0,0,0,0,0,0,Shipper-Owned,5,5,75.0,150.0,300.0,60.0,120.0,240.0,6
42G1,40DV,40ft Dry Van,40,"8'6""",2.0,1.0,26409,3761,66.8,0,0,0,0,0,Owned,5,5,97.5,195.0,390.0,78.0,156.0,312.0,7
42G1,40DV,40ft Dry Van,40,"8'6""",2.0,1.0,27164,3869,68.7,0,0,0,0,0,Owned,5,5,97.5,195.0,390.0,78.0,156.0,312.0,8
42G1,40DV,40ft Dry Van,40,"8'6""",2.0,1.0,26793,3816,67.8,0,0,0,0,0,Leased Long-Term,5,5,97.5,195.0,390.0,78.0,156.0,312.0,9
42G1,40DV,40ft Dry Van,40,"8'6""",2.0,1.0,26666,3798,67.5,0,0,0,0,0,Leased Long-Term,5,5,97.5,195.0,390.0,78.0,156.0,312.0,10
42G1,40DV,40ft Dry Van,40,"8'6""",2.0,1.0,26554,3782,67.2,0,0,0,0,0,Leased Short-Term,5,5,97.5,195.0,390.0,78.0,156.0,312.0,11
42G1,40DV,40ft Dry Van,40,"8'6""",2.0,1.0,26633,3793,67.4,0,0,0,0,0,Shipper-Owned,5,5,97.5,195.0,390.0,78.0,156.0,312.0,12
45G1,40HC,40ft High Cube Dry Van,40,"9'6""",2.0,1.0,26291,3858,75.2,0,0,0,0,0,Owned,5,5,97.5,195.0,390.0,78.0,156.0,312.0,13
45G1,40HC,40ft High Cube Dry Van,40,"9'6""",2.0,1.0,26633,3908,76.2,0,0,0,0,0,Owned,5,5,97.5,195.0,390.0,78.0,156.0,312.0,14
45G1,40HC,40ft High Cube Dry Van,40,"9'6""",2.0,1.0,26428,3878,75.6,0,0,0,0,0,Leased Long-Term,5,5,97.5,195.0,390.0,78.0,156.0,312.0,15
