SkuCode,SkuDescription,CustomerCode,CommodityKey,ProductCategory,ProductSubCategory,UnitOfMeasure,UnitsPerCarton,CartonsPerPallet,UnitWeightKg,UnitVolumeCbm,UnitCostUsd,UnitPriceUsd,AbcClassStatic,IsHazardous,RequiresColdChain,ShelfLifeDays,StorageType,IsActive,SkuKey
#NA,#NA,#NA,-1,#NA,#NA,#NA,0,0,0.0,0.0,0.0,0.0,#NA,0,0,,#NA,0,-1
000001,"Milk and Cream, Concentrated or Sweetened - Loose - Retail Unit",CUS2456,58,Perishable,"Milk and Cream, Concentrated or Sweetened",KG,10,48,28.8355,0.04632,342.45,650.54,B,0,0,,Ambient,1,1
000002,Parts and Accessories of Motor Vehicles - Premium - Retail Unit,CUS1432,786,Automotive,Parts and Accessories of Motor Vehicles,EA,18,35,5.4968,0.02303,180.77,298.7,C,0,0,,Ambient,1,2
000003,"Petroleum Oils, Refined - Type III - Retail Unit",CUS1980,231,Chemical,"Petroleum Oils, Refined",EA,22,63,27.5599,0.03488,191.57,418.49,C,1,0,,Hazmat,1,3
000004,Beer Made from Malt - Industrial Grade - Retail Unit,CUS1519,205,Consumer Goods,Beer Made from Malt,EA,1,43,37.6505,0.03383,1290.6,1582.63,C,0,0,,Bulk,1,4
000005,Automatic Data Processing Machines - Grade A - Retail Unit,CUS1652,661,Industrial,Automatic Data Processing Machines,KG,3,40,5.2241,0.02623,737.3,1408.49,B,0,0,,Ambient,1,5
000006,Footwear with Leather Uppers - Processed - Retail Unit,CUS1043,580,Consumer Goods,Footwear with Leather Uppers,CTN,33,62,2.1467,0.01526,5.69,13.28,A,0,0,,Ambient,1,6
000007,"Insecticides, Pesticides, Disinfectants - Type III - Retail Unit",CUS0111,411,Chemical,"Insecticides, Pesticides, Disinfectants",EA,32,34,39.7842,0.04514,796.91,1973.52,C,1,0,,Hazmat,1,7
000008,Other Floating Structures - Processed - Retail Unit,CUS2771,840,Project Cargo,Other Floating Structures,EA,19,77,9.9689,0.02513,128.04,190.82,C,0,0,,Ambient,1,8
000009,Motor Cars and Other Motor Vehicles - Retail Pack - Retail Unit,CUS0763,764,Automotive,Motor Cars and Other Motor Vehicles,LTR,21,77,1.7091,0.0043,363.91,524.03,C,0,0,,Ambient,1,9
000010,Automatic Data Processing Machines - Loose - Retail Unit,CUS1652,678,Industrial,Automatic Data Processing Machines,EA,29,59,4.5984,0.02536,285.05,470.16,A,0,0,,Ambient,1,10
000011,Mineral or Chemical Fertilisers - Grade A - Retail Unit,CUS3087,321,Chemical,Mineral or Chemical Fertilisers,EA,4,36,30.8167,0.03127,1117.76,2766.83,B,1,0,,Hazmat,1,11
000012,"New Pneumatic Tyres, of Rubber - Loose - Retail Unit",CUS0170,478,Industrial,"New Pneumatic Tyres, of Rubber",EA,40,42,0.5952,0.00272,5.31,11.54,B,0,0,,Ambient,1,12
000013,"Bananas, Fresh or Dried - Type II - Retail Unit",CUS1246,70,Perishable,"Bananas, Fresh or Dried",EA,9,80,13.3505,0.04141,370.63,508.76,B,0,1,307,Frozen,1,13
000014,Electric Accumulators (Batteries) - Refined - Retail Unit,CUS0037,759,Industrial,Electric Accumulators (Batteries),EA,24,61,16.3698,0.02969,1006.11,2279.71,B,1,0,,Hazmat,1,14
000015,Structures and Parts of Iron/Steel - Carton Pack - Retail Unit,CUS0393,616,Industrial,Structures and Parts of Iron/Steel,EA,10,43,28.3139,0.03415,164.44,199.87,A,0,0,,Ambient,1,15
000016,Other Inorganic Acids - Grade A - Retail Unit,CUS1193,241,Chemical,Other Inorganic Acids,EA,33,56,21.7108,0.0143,83.38,105.1,B,1,0,,Hazmat,1,16
000017,Monitors and Projectors - Type II - Retail Unit,CUS2643,730,Consumer Goods,Monitors and Projectors,PAL,45,58,4.1961,0.02988,617.66,1261.05,C,0,0,,Ambient,1,17
000018,Monitors and Projectors - Loose - Retail Unit,CUS0006,738,Consumer Goods,Monitors and Projectors,EA,48,51,5.3425,0.04054,444.73,525.15,C,0,0,,Ambient,0,18
000019,Monitors and Projectors - Processed - Retail Unit,CUS1733,740,Consumer Goods,Monitors and Projectors,KG,23,38,1.56,0.01319,256.81,446.5,C,0,0,,Ambient,1,19
000020,Palm Oil and Its Fractions - Premium - Retail Unit,CUS1811,126,Chemical,Palm Oil and Its Fractions,EA,4,79,21.4481,0.02682,604.85,1117.74,B,0,0,,Ambient,1,20
000021,Electric Accumulators (Batteries) - Type III - Retail Unit,CUS1585,751,Industrial,Electric Accumulators (Batteries),EA,29,49,18.8529,0.04793,3305.72,5503.29,C,1,0,,Hazmat,1,21
000022,"Taps, Cocks, Valves and Similar Appliances - Type I - Retail Unit",CUS1076,689,Industrial,"Taps, Cocks, Valves and Similar Appliances",EA,11,78,14.5649,0.0309,181.13,391.81,B,0,0,,Bulk,1,22
000023,Frozen Bovine Meat - Grade A - Retail Unit,CUS0308,1,Perishable,Frozen Bovine Meat,EA,45,47,0.2405,0.00094,3.96,8.15,C,0,1,559,Frozen,1,23
000024,"Medicaments, Mixed or Unmixed - Refined - Retail Unit",CUS1046,319,Chemical,"Medicaments, Mixed or Unmixed",LTR,26,40,2.8641,0.00578,178.72,362.37,C,0,1,391,Chilled,1,24
000025,"Taps, Cocks, Valves and Similar Appliances - Loose - Retail Unit",CUS0658,698,Industrial,"Taps, Cocks, Valves and Similar Appliances",EA,27,40,1.1558,0.00224,39.04,65.24,C,0,0,,Ambient,1,25
000026,"New Pneumatic Tyres, of Rubber - Loose - Retail Unit",CUS1246,478,Industrial,"New Pneumatic Tyres, of Rubber",PAL,26,78,2.6046,0.01149,20.73,42.24,B,0,0,,Bulk,1,26
000027,Motor Cars and Other Motor Vehicles - Standard - Retail Unit,CUS0587,767,Automotive,Motor Cars and Other Motor Vehicles,CTN,30,30,16.5902,0.03827,645.1,1325.56,C,0,0,,Ambient,0,27
000028,Soap and Organic Surface-Active Products - Class 2 - Retail Unit,CUS1181,373,Consumer Goods,Soap and Organic Surface-Active Products,CTN,21,59,21.6463,0.03569,485.06,1081.04,C,0,0,,Ambient,1,28
000029,"Ethers, Alcohols, Peroxides - Palletized - Retail Unit",CUS0624,297,Chemical,"Ethers, Alcohols, Peroxides",LTR,26,55,7.0739,0.00798,101.74,210.73,C,1,0,,Hazmat,1,29
000030,Structures and Parts of Iron/Steel - Processed - Retail Unit,CUS2963,620,Industrial,Structures and Parts of Iron/Steel,CTN,29,24,1.0943,0.00175,7.54,14.98,C,0,0,,Ambient,1,30
000031,Medical Instruments and Appliances - Class 2 - Retail Unit,CUS2435,853,Industrial,Medical Instruments and Appliances,EA,24,58,6.0717,0.03034,868.32,1630.75,C,0,0,,Bulk,1,31
000032,"Taps, Cocks, Valves and Similar Appliances - Economy - Retail Unit",CUS0150,688,Industrial,"Taps, Cocks, Valves and Similar Appliances",CTN,18,29,18.0089,0.04714,388.44,783.85,A,0,0,,Ambient,0,32
000033,Automatic Data Processing Machines - Carton Pack - Retail Unit,CUS0880,676,Industrial,Automatic Data Processing Machines,CTN,30,59,5.0883,0.03122,556.37,682.38,A,0,0,,Ambient,1,33
000034,Structures and Parts of Iron/Steel - Grade A - Retail Unit,CUS0918,601,Industrial,Structures and Parts of Iron/Steel,CTN,43,58,27.4173,0.03027,580.58,787.32,C,0,0,,Ambient,1,34
000035,"Parts of Balloons, Aircraft or Spacecraft - Type III - Retail Unit",CUS1043,811,Project Cargo,"Parts of Balloons, Aircraft or Spacecraft",CTN,3,70,6.6118,0.03861,590.39,743.18,B,0,0,,Ambient,1,35
000036,Automatic Data Processing Machines - Palletized - Retail Unit,CUS1222,677,Industrial,Automatic Data Processing Machines,EA,3,59,4.8535,0.02785,383.22,615.42,C,0,0,,Ambient,1,36
000037,Other Articles of Plastics - Bulk - Retail Unit,CUS2239,443,Industrial,Other Articles of Plastics,EA,23,79,8.4967,0.03426,177.95,206.57,B,0,0,,Ambient,1,37
000038,"Milk and Cream, Concentrated or Sweetened - Palletized - Retail Unit",CUS2723,57,Perishable,"Milk and Cream, Concentrated or Sweetened",CTN,18,62,14.1654,0.02341,534.75,910.47,B,0,0,,Ambient,1,38
000039,Soap and Organic Surface-Active Products - Palletized - Retail Unit,CUS2860,377,Consumer Goods,Soap and Organic Surface-Active Products,EA,6,38,3.2636,0.00519,6.99,11.26,C,0,0,,Ambient,1,39
000040,"Hydrogen, Rare Gases and Other Non-Metals - Processed - Retail Unit",CUS3038,280,Chemical,"Hydrogen, Rare Gases and Other Non-Metals",EA,6,52,0.572,0.00614,14.57,18.3,C,1,0,,Hazmat,1,40
000041,"Parts of Balloons, Aircraft or Spacecraft - Processed - Retail Unit",CUS0503,820,Project Cargo,"Parts of Balloons, Aircraft or Spacecraft",LTR,12,51,3.7662,0.01266,817.93,1191.72,C,0,0,,Ambient,1,41
000042,"T-Shirts, Singlets, Knitted - Industrial Grade - Retail Unit",CUS2250,525,Consumer Goods,"T-Shirts, Singlets, Knitted",CTN,44,43,3.7726,0.0314,113.27,257.58,A,0,0,,Ambient,1,42
000043,"Polymers of Ethylene, in Primary Forms - Grade B - Retail Unit",CUS1671,422,Industrial,"Polymers of Ethylene, in Primary Forms",EA,8,63,14.1327,0.03201,69.99,120.33,C,0,0,,Ambient,1,43
000044,"Telephone Sets, Smartphones - Class 1 - Retail Unit",CUS0339,712,Consumer Goods,"Telephone Sets, Smartphones",EA,18,29,7.4749,0.03675,211.41,357.73,B,0,0,,Ambient,1,44
000045,Other Inorganic Acids - Standard - Retail Unit,CUS1990,247,Chemical,Other Inorganic Acids,EA,18,67,11.3656,0.00944,210.89,509.24,B,1,0,,Hazmat,1,45
000046,"Citrus Fruit, Fresh or Dried - Palletized - Retail Unit",CUS1420,97,Perishable,"Citrus Fruit, Fresh or Dried",LTR,46,50,20.2882,0.04864,211.18,318.14,C,0,0,,Ambient,1,46
000047,Mineral or Chemical Fertilisers - Type II - Retail Unit,CUS1293,330,Chemical,Mineral or Chemical Fertilisers,EA,11,46,29.1449,0.02769,459.32,736.3,C,1,0,,Hazmat,1,47
000048,"Petroleum Oils, Refined - Loose - Retail Unit",CUS0443,238,Chemical,"Petroleum Oils, Refined",PAL,6,54,6.4978,0.00761,123.3,216.0,C,1,0,,Hazmat,1,48
000049,"Parts of Balloons, Aircraft or Spacecraft - Loose - Retail Unit",CUS1624,818,Project Cargo,"Parts of Balloons, Aircraft or Spacecraft",CTN,45,38,1.2801,0.00405,158.13,197.51,C,0,0,,Ambient,1,49
000050,"Tricycles, Toys, Reduced-Size Models - Refined - Retail Unit",CUS1766,899,Consumer Goods,"Tricycles, Toys, Reduced-Size Models",PAL,41,61,6.1534,0.03629,107.87,159.43,C,0,0,,Bulk,1,50
